,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_Group
9341,713758758,Existing Customer,48,M,2,High School,Married,Less than $40K,Silver,36,2,2,2,14581.0,2517,12064.0,0.776,17628,109,0.817,0.173,40
9342,779809908,Existing Customer,44,F,3,High School,Single,Less than $40K,Blue,34,2,2,2,3084.0,0,3084.0,0.861,12739,96,0.882,0.0,40
9343,816310158,Existing Customer,49,M,4,Uneducated,Unknown,$60K - $80K,Blue,44,1,3,2,12375.0,2263,10112.0,1.044,14500,106,0.582,0.183,40
9344,780349833,Existing Customer,36,M,2,College,Married,$40K - $60K,Gold,23,1,1,3,23981.0,0,23981.0,0.827,15236,120,0.875,0.0,30
9345,818235408,Existing Customer,30,M,0,College,Married,$60K - $80K,Blue,25,2,3,1,19534.0,0,19534.0,0.616,15634,118,0.639,0.0,30
9347,719634408,Existing Customer,51,M,2,Unknown,Single,$120K +,Silver,31,2,2,2,34516.0,585,33931.0,0.875,13534,104,0.825,0.017,50
9348,709934808,Existing Customer,59,M,1,Unknown,Single,$40K - $60K,Silver,51,2,2,1,15164.0,1071,14093.0,0.9,13062,103,0.717,0.071,50
9349,712238958,Existing Customer,45,M,4,Graduate,Married,Less than $40K,Blue,36,1,2,3,7231.0,1047,6184.0,0.947,15571,115,0.797,0.145,40
9350,711813258,Existing Customer,56,M,2,College,Single,$60K - $80K,Gold,43,2,1,2,34516.0,2022,32494.0,0.761,13633,116,0.785,0.059,50
9351,789983133,Existing Customer,31,M,2,Graduate,Unknown,$80K - $120K,Silver,22,2,3,2,34516.0,1780,32736.0,0.839,14185,98,0.69,0.052,30
9352,792139308,Existing Customer,48,F,3,Graduate,Single,$40K - $60K,Blue,42,1,2,3,9215.0,639,8576.0,0.646,13345,114,0.754,0.069,40
9353,718123608,Existing Customer,32,M,2,Graduate,Married,$80K - $120K,Blue,36,2,1,2,25438.0,1907,23531.0,0.741,16485,104,0.793,0.075,30
9354,715369008,Existing Customer,46,F,3,High School,Single,Less than $40K,Blue,36,1,2,2,3759.0,0,3759.0,0.722,15331,106,0.767,0.0,40
9355,717556758,Existing Customer,52,F,2,High School,Single,Less than $40K,Blue,36,1,2,3,3029.0,2267,762.0,0.842,14934,113,0.823,0.748,50
9357,716340783,Existing Customer,48,M,4,High School,Married,$80K - $120K,Blue,36,1,1,2,21526.0,1320,20206.0,0.762,14441,105,0.875,0.061,40
9359,825743583,Existing Customer,39,F,2,Graduate,Single,Unknown,Silver,35,1,3,3,32089.0,1971,30118.0,0.671,13796,121,0.833,0.061,30
9360,717711108,Existing Customer,43,F,3,Unknown,Married,Less than $40K,Blue,27,1,2,2,3541.0,1042,2499.0,0.774,14511,123,0.708,0.294,40
9361,789791808,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,32,2,2,2,7139.0,1512,5627.0,1.106,14802,112,0.75,0.212,40
9362,807971658,Existing Customer,47,F,3,Unknown,Married,Less than $40K,Blue,42,1,2,3,3669.0,2517,1152.0,0.83,13931,112,0.836,0.686,40
9364,818239983,Existing Customer,53,M,2,Unknown,Divorced,$80K - $120K,Blue,48,2,1,2,15594.0,1590,14004.0,0.679,13016,118,0.616,0.102,50
9365,712544358,Existing Customer,48,M,3,Graduate,Married,$120K +,Gold,36,1,4,2,34516.0,1823,32693.0,1.062,15552,108,0.831,0.053,40
9366,720306408,Existing Customer,50,F,2,High School,Single,Less than $40K,Blue,41,2,3,2,6704.0,0,6704.0,0.856,12576,103,0.776,0.0,50
9367,721488858,Existing Customer,53,M,3,Uneducated,Married,$60K - $80K,Silver,38,1,3,2,32417.0,871,31546.0,0.911,14381,121,0.862,0.027,50
9368,710771433,Existing Customer,48,M,1,Graduate,Single,$80K - $120K,Blue,36,1,3,1,2754.0,2152,602.0,0.821,13991,125,0.761,0.781,40
9370,717663033,Existing Customer,51,M,2,Uneducated,Single,$120K +,Blue,35,1,2,2,34516.0,1068,33448.0,0.966,16428,123,0.809,0.031,50
9371,721524858,Existing Customer,51,F,2,Unknown,Married,Less than $40K,Blue,37,1,2,3,7098.0,1829,5269.0,0.557,13139,102,0.789,0.258,50
9372,788778033,Existing Customer,39,F,2,College,Single,Less than $40K,Silver,20,1,2,3,12338.0,1277,11061.0,0.828,15869,109,0.758,0.104,30
9373,708649683,Existing Customer,51,M,2,High School,Single,$60K - $80K,Blue,42,1,3,2,16703.0,1140,15563.0,0.555,15472,122,0.768,0.068,50
9374,708770883,Existing Customer,43,M,2,Uneducated,Married,$80K - $120K,Blue,24,2,2,2,16667.0,1463,15204.0,0.803,15301,115,0.797,0.088,40
9376,719210133,Existing Customer,47,M,3,Uneducated,Single,$60K - $80K,Blue,35,2,3,1,14131.0,1333,12798.0,0.767,12779,103,0.689,0.094,40
9377,714690633,Existing Customer,51,F,3,Graduate,Single,Less than $40K,Blue,36,1,3,1,3276.0,1474,1802.0,0.759,14212,116,0.681,0.45,50
9378,719719158,Existing Customer,38,M,4,Post-Graduate,Single,$80K - $120K,Silver,36,1,3,1,34516.0,1435,33081.0,0.865,15584,114,0.839,0.042,30
9379,712690458,Existing Customer,38,F,2,Uneducated,Married,Less than $40K,Blue,28,1,1,2,3629.0,1891,1738.0,0.917,15982,113,0.687,0.521,30
9380,718758783,Existing Customer,44,F,4,Unknown,Single,Less than $40K,Silver,36,2,3,3,13067.0,1943,11124.0,0.85,15172,118,1.034,0.149,40
9381,716947083,Existing Customer,32,M,3,High School,Single,$40K - $60K,Blue,36,2,2,1,3845.0,1871,1974.0,0.847,14593,110,0.803,0.487,30
9383,712952283,Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,35,1,1,2,34516.0,1638,32878.0,0.761,14474,121,0.833,0.047,50
9384,718799958,Existing Customer,60,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,13312.0,1974,11338.0,0.898,14336,106,0.656,0.148,60
9385,718663983,Existing Customer,38,F,1,Doctorate,Single,Less than $40K,Blue,36,2,2,2,3466.0,2517,949.0,0.699,13140,94,0.709,0.726,30
9386,789550458,Existing Customer,59,M,0,High School,Single,$40K - $60K,Silver,52,1,2,1,15223.0,1729,13494.0,0.863,14230,111,0.79,0.114,50
9387,708226833,Existing Customer,53,M,1,High School,Married,$120K +,Gold,44,1,6,3,34516.0,831,33685.0,0.727,13247,107,0.754,0.024,50
9390,710775483,Existing Customer,53,M,1,High School,Unknown,$40K - $60K,Blue,43,2,1,3,9060.0,0,9060.0,0.775,14305,102,0.645,0.0,50
9391,709410033,Existing Customer,56,M,2,High School,Unknown,$80K - $120K,Blue,36,1,1,1,4731.0,831,3900.0,0.96,14952,118,0.788,0.176,50
9392,717173358,Existing Customer,60,F,0,Graduate,Single,$40K - $60K,Blue,47,1,2,3,9502.0,1881,7621.0,0.717,14418,100,0.754,0.198,60
9393,719773158,Existing Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36,1,3,0,29738.0,2370,27368.0,0.806,14270,97,0.902,0.08,40
9394,771292233,Existing Customer,48,F,1,Unknown,Single,Less than $40K,Blue,36,1,1,2,3918.0,813,3105.0,1.149,15867,103,1.06,0.208,40
9395,756371058,Existing Customer,58,F,1,Unknown,Married,Less than $40K,Blue,40,1,2,3,3944.0,1006,2938.0,0.782,15315,124,0.851,0.255,50
9396,709476033,Existing Customer,55,M,2,Uneducated,Married,$120K +,Blue,48,2,1,2,6577.0,1800,4777.0,0.786,14229,120,0.69,0.274,50
9397,770560683,Existing Customer,51,M,1,Graduate,Married,$120K +,Gold,37,2,3,1,34516.0,2417,32099.0,0.947,13021,117,0.625,0.07,50
9398,788766933,Existing Customer,46,M,2,Post-Graduate,Married,$80K - $120K,Blue,26,1,3,1,34516.0,714,33802.0,0.883,14279,97,0.764,0.021,40
9399,713550483,Existing Customer,45,M,4,Graduate,Unknown,$60K - $80K,Blue,33,1,5,1,8670.0,1930,6740.0,0.933,13767,96,0.655,0.223,40
9401,713895633,Existing Customer,56,F,1,High School,Unknown,$40K - $60K,Blue,36,2,1,3,8331.0,0,8331.0,0.705,14324,103,0.689,0.0,50
9402,720471108,Existing Customer,34,F,4,High School,Single,Unknown,Silver,26,2,2,2,32056.0,1668,30388.0,0.771,12595,106,0.683,0.052,30
9403,718192608,Existing Customer,48,M,3,Uneducated,Married,$60K - $80K,Blue,36,1,1,2,15524.0,1148,14376.0,0.829,13819,106,0.71,0.074,40
9404,805485933,Existing Customer,45,F,3,Graduate,Married,Less than $40K,Blue,40,2,1,3,4010.0,2517,1493.0,0.71,14354,101,0.629,0.628,40
9405,712517808,Existing Customer,42,M,5,High School,Married,$60K - $80K,Blue,36,2,4,3,3275.0,1525,1750.0,0.749,14830,112,0.697,0.466,40
9406,780604083,Existing Customer,49,M,1,Unknown,Single,$60K - $80K,Blue,37,1,2,2,18349.0,1209,17140.0,0.738,16422,110,0.803,0.066,40
9407,715311183,Existing Customer,35,M,2,Post-Graduate,Single,$60K - $80K,Blue,24,2,3,1,3388.0,1659,1729.0,0.842,13557,100,0.724,0.49,30
9410,757786608,Existing Customer,33,M,2,Post-Graduate,Single,$80K - $120K,Blue,24,2,3,2,4178.0,2463,1715.0,0.815,16216,107,0.814,0.59,30
9411,714303483,Existing Customer,40,M,2,College,Married,$40K - $60K,Gold,31,1,2,1,3735.0,1474,2261.0,0.798,15039,130,0.757,0.395,40
9412,718728108,Existing Customer,43,M,4,Uneducated,Married,$60K - $80K,Silver,30,1,3,1,29856.0,1576,28280.0,0.8,14887,119,0.545,0.053,40
9413,710019933,Existing Customer,29,M,1,Uneducated,Single,$40K - $60K,Blue,22,2,3,3,11522.0,1203,10319.0,0.847,13720,119,0.831,0.104,20
9414,812453283,Existing Customer,42,M,3,Graduate,Married,$40K - $60K,Blue,37,2,2,3,3161.0,1788,1373.0,0.865,13692,117,0.828,0.566,40
9417,827901183,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,47,2,2,1,5118.0,980,4138.0,0.786,14593,109,0.627,0.191,50
9419,710663508,Existing Customer,42,M,4,Uneducated,Married,$40K - $60K,Blue,33,1,2,2,3108.0,2280,828.0,0.844,14763,99,0.8,0.734,40
9420,716439258,Existing Customer,32,M,3,Graduate,Married,$60K - $80K,Blue,36,1,1,1,3223.0,1413,1810.0,1.009,13648,103,0.635,0.438,30
9421,719610708,Existing Customer,43,M,1,Graduate,Married,$120K +,Blue,34,5,1,3,28612.0,2517,26095.0,0.712,14727,105,0.641,0.088,40
9422,715026258,Existing Customer,50,M,1,Graduate,Married,$60K - $80K,Silver,37,1,1,1,6224.0,777,5447.0,0.743,13503,112,0.623,0.125,50
9423,711706458,Existing Customer,44,M,4,Doctorate,Married,$80K - $120K,Blue,27,1,2,1,24134.0,1290,22844.0,0.814,13311,110,0.642,0.053,40
9424,712180308,Existing Customer,36,M,4,High School,Single,$120K +,Blue,36,1,3,3,27929.0,1898,26031.0,0.725,14755,123,0.732,0.068,30
9425,802622733,Existing Customer,44,F,4,Uneducated,Single,$40K - $60K,Blue,34,1,3,3,3657.0,0,3657.0,0.785,14802,95,0.667,0.0,40
9426,778832883,Existing Customer,47,F,3,Post-Graduate,Married,Less than $40K,Blue,28,1,3,1,8257.0,961,7296.0,0.741,13769,104,0.857,0.116,40
9427,788671608,Existing Customer,45,F,4,College,Single,$40K - $60K,Gold,30,1,2,1,23051.0,1836,21215.0,0.743,14393,107,0.814,0.08,40
9428,718023708,Existing Customer,53,F,2,Uneducated,Single,$40K - $60K,Blue,42,2,1,3,14839.0,2226,12613.0,0.828,14625,115,0.769,0.15,50
9429,718692258,Existing Customer,43,M,3,Unknown,Married,$60K - $80K,Blue,34,1,3,1,3755.0,1591,2164.0,0.883,14402,110,0.803,0.424,40
9430,718357458,Existing Customer,48,M,5,Unknown,Single,$60K - $80K,Blue,36,2,3,0,3862.0,0,3862.0,0.807,15282,125,0.712,0.0,40
9431,714003483,Existing Customer,37,M,1,Doctorate,Unknown,$60K - $80K,Blue,36,1,3,1,7539.0,0,7539.0,1.023,15293,129,0.743,0.0,30
9433,711008508,Existing Customer,59,M,2,Graduate,Single,$40K - $60K,Blue,50,2,1,2,11808.0,0,11808.0,0.813,13751,113,0.823,0.0,50
9434,815230458,Existing Customer,31,M,1,High School,Divorced,$40K - $60K,Silver,26,1,1,3,15504.0,1277,14227.0,0.612,14181,126,0.615,0.082,30
9436,709514433,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,33,2,1,1,13818.0,609,13209.0,0.787,13209,101,0.656,0.044,40
9437,815826708,Existing Customer,53,F,2,Unknown,Married,$40K - $60K,Blue,48,2,3,3,4442.0,1107,3335.0,0.822,14437,109,0.912,0.249,50
9438,815520333,Existing Customer,55,M,3,High School,Married,$60K - $80K,Blue,50,2,1,2,5282.0,1144,4138.0,0.8,13513,115,0.597,0.217,50
9439,718661958,Existing Customer,41,M,3,College,Married,$80K - $120K,Blue,28,1,1,3,34516.0,1617,32899.0,0.625,13083,93,0.722,0.047,40
9440,788980983,Existing Customer,55,M,1,High School,Single,$80K - $120K,Blue,42,1,4,2,34516.0,1583,32933.0,0.824,12192,112,0.672,0.046,50
9441,721171008,Existing Customer,31,F,1,Unknown,Married,Less than $40K,Silver,36,2,3,1,10353.0,1520,8833.0,0.724,15028,124,0.746,0.147,30
9442,714682233,Existing Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,43,1,4,1,9959.0,0,9959.0,0.751,14948,125,0.866,0.0,40
9443,720736608,Existing Customer,42,M,2,Graduate,Married,$60K - $80K,Blue,36,2,2,1,6280.0,2181,4099.0,0.795,14109,92,0.878,0.347,40
9445,772207683,Existing Customer,34,M,2,Graduate,Single,Less than $40K,Blue,23,1,3,2,8940.0,1518,7422.0,0.726,14459,97,0.702,0.17,30
9446,714794133,Existing Customer,54,M,2,Uneducated,Married,$60K - $80K,Blue,45,2,3,1,6546.0,1908,4638.0,0.697,14103,112,0.672,0.291,50
9447,756639708,Existing Customer,46,F,2,Unknown,Married,Unknown,Silver,39,1,1,2,32587.0,992,31595.0,1.139,15958,113,0.687,0.03,40
9448,713686008,Existing Customer,38,M,2,Graduate,Single,$60K - $80K,Blue,25,1,1,1,11474.0,0,11474.0,0.628,13041,98,0.661,0.0,30
9449,713475633,Existing Customer,40,M,5,Unknown,Single,$120K +,Silver,31,1,3,3,34516.0,2203,32313.0,0.728,14204,96,0.92,0.064,40
9451,712532058,Existing Customer,44,M,3,Post-Graduate,Married,$40K - $60K,Blue,36,1,1,2,12552.0,1405,11147.0,0.702,15508,95,0.792,0.112,40
9452,789666333,Existing Customer,39,M,2,Graduate,Single,$60K - $80K,Blue,24,2,3,2,21679.0,1073,20606.0,0.745,15581,115,0.797,0.049,30
9453,711422358,Existing Customer,42,M,5,Post-Graduate,Unknown,$40K - $60K,Blue,36,1,2,2,10531.0,2330,8201.0,0.757,14955,118,0.662,0.221,40
9454,708510858,Existing Customer,60,F,1,Uneducated,Single,Less than $40K,Blue,47,1,3,2,4905.0,2413,2492.0,0.853,15478,109,0.73,0.492,60
9455,767023308,Existing Customer,35,M,3,College,Unknown,$80K - $120K,Silver,29,2,2,2,34516.0,0,34516.0,0.758,12847,106,0.738,0.0,30
9456,789289383,Existing Customer,42,M,3,Graduate,Single,$80K - $120K,Silver,31,2,2,3,34516.0,2120,32396.0,0.9,14626,97,0.644,0.061,40
9459,713330133,Existing Customer,37,F,1,Graduate,Married,Less than $40K,Blue,19,2,3,2,5843.0,1346,4497.0,0.641,13299,95,0.863,0.23,30
9460,714403983,Existing Customer,43,M,2,Graduate,Single,$80K - $120K,Blue,36,2,2,1,34427.0,1613,32814.0,0.704,13545,112,0.672,0.047,40
9462,710362233,Existing Customer,48,M,3,Unknown,Unknown,$80K - $120K,Platinum,40,1,2,3,34516.0,1723,32793.0,0.628,13853,98,0.782,0.05,40
9463,771484908,Existing Customer,31,M,0,Graduate,Divorced,$80K - $120K,Silver,19,1,3,3,34516.0,1984,32532.0,0.757,14969,96,0.811,0.057,30
9465,715694433,Existing Customer,51,M,1,Unknown,Single,$60K - $80K,Blue,22,2,3,3,4248.0,1177,3071.0,0.821,13958,116,0.785,0.277,50
9466,793456983,Existing Customer,43,M,0,Post-Graduate,Single,$40K - $60K,Blue,37,1,2,3,7872.0,989,6883.0,0.809,13746,104,0.733,0.126,40
9467,715742658,Existing Customer,41,F,3,Graduate,Unknown,Less than $40K,Blue,13,1,3,2,6077.0,1421,4656.0,0.739,12489,97,0.764,0.234,40
9468,715518783,Existing Customer,48,F,3,Graduate,Single,Less than $40K,Blue,36,2,3,1,3882.0,2029,1853.0,0.751,13980,128,0.707,0.523,40
9469,779514558,Existing Customer,41,F,2,High School,Married,Less than $40K,Blue,24,1,1,1,7207.0,1645,5562.0,0.969,13730,96,0.745,0.228,40
9470,720017958,Existing Customer,48,F,4,Unknown,Single,$40K - $60K,Blue,36,1,1,2,6121.0,1679,4442.0,0.705,14224,117,0.887,0.274,40
9472,719039283,Existing Customer,32,M,1,Uneducated,Married,$40K - $60K,Blue,36,2,2,3,3535.0,1964,1571.0,0.661,14080,85,0.809,0.556,30
9475,716159958,Existing Customer,49,M,2,Unknown,Married,$60K - $80K,Blue,36,2,1,2,6224.0,1329,4895.0,0.74,14238,93,0.755,0.214,40
9476,712195383,Existing Customer,37,F,0,Doctorate,Single,Less than $40K,Blue,36,2,2,3,9178.0,1585,7593.0,0.617,14932,110,0.803,0.173,30
9477,822885033,Existing Customer,31,M,1,High School,Married,$60K - $80K,Blue,24,2,1,3,4328.0,1493,2835.0,0.651,14731,120,0.765,0.345,30
9478,716543433,Existing Customer,52,M,2,College,Married,$80K - $120K,Blue,36,1,2,2,9959.0,1049,8910.0,0.976,15195,99,0.941,0.105,50
9479,717403158,Existing Customer,60,F,0,Uneducated,Single,Less than $40K,Blue,47,1,2,2,9634.0,2076,7558.0,0.876,14218,102,0.759,0.215,60
9480,826065258,Existing Customer,35,F,2,Unknown,Divorced,Unknown,Blue,31,2,2,2,19033.0,1555,17478.0,1.001,16033,116,0.812,0.082,30
9481,709397508,Existing Customer,48,M,1,Uneducated,Married,$60K - $80K,Blue,39,2,3,1,8624.0,1709,6915.0,0.967,15738,111,0.82,0.198,40
9484,713542908,Existing Customer,31,M,2,Graduate,Single,Less than $40K,Blue,19,1,2,3,5871.0,1829,4042.0,0.81,15645,117,0.746,0.312,30
9486,713671158,Existing Customer,46,M,2,Uneducated,Single,$120K +,Blue,32,2,3,1,34516.0,2328,32188.0,0.855,15754,121,0.729,0.067,40
9487,802449933,Existing Customer,29,M,1,Uneducated,Married,$40K - $60K,Blue,23,1,3,1,8147.0,1750,6397.0,0.751,14912,114,0.869,0.215,20
9488,716723658,Existing Customer,37,F,2,Post-Graduate,Single,Less than $40K,Blue,28,1,3,1,3525.0,1519,2006.0,0.685,13625,110,1.0,0.431,30
9489,710451708,Existing Customer,32,M,1,Graduate,Married,$40K - $60K,Blue,24,1,1,2,9711.0,972,8739.0,0.647,14926,115,0.742,0.1,30
9490,809540733,Existing Customer,52,M,2,High School,Married,$80K - $120K,Blue,47,1,1,1,11358.0,1425,9933.0,0.611,14327,92,0.673,0.125,50
9491,716372358,Existing Customer,58,F,3,Graduate,Married,Less than $40K,Blue,47,1,2,1,6765.0,0,6765.0,0.739,14133,124,0.771,0.0,50
9494,710262408,Existing Customer,29,M,1,Graduate,Married,$80K - $120K,Silver,36,1,2,1,34516.0,1666,32850.0,0.82,13971,116,0.812,0.048,20
9495,713975433,Existing Customer,32,F,0,High School,Divorced,Less than $40K,Blue,25,2,3,0,8851.0,1753,7098.0,0.627,14783,110,0.864,0.198,30
9496,771244383,Existing Customer,52,F,1,College,Unknown,Less than $40K,Blue,39,1,2,1,8506.0,0,8506.0,0.719,14289,113,0.638,0.0,50
9497,710405808,Existing Customer,48,M,2,Graduate,Divorced,Less than $40K,Blue,36,1,3,2,3442.0,1229,2213.0,0.81,14618,100,0.724,0.357,40
9498,715542783,Existing Customer,33,F,2,Graduate,Married,Less than $40K,Blue,24,1,3,2,3731.0,0,3731.0,0.767,13234,92,0.84,0.0,30
9499,815840283,Existing Customer,51,F,2,Unknown,Married,Less than $40K,Blue,46,1,6,3,7744.0,1893,5851.0,0.813,16059,124,0.722,0.244,50
9500,788908308,Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,32,2,3,2,5972.0,0,5972.0,0.606,14227,116,0.706,0.0,40
9501,789394833,Existing Customer,47,M,2,Unknown,Divorced,$80K - $120K,Blue,37,1,2,2,21714.0,1969,19745.0,0.944,13270,104,0.625,0.091,40
9502,712609533,Existing Customer,32,M,1,Uneducated,Single,$80K - $120K,Blue,15,2,2,1,3371.0,1530,1841.0,0.828,13432,118,0.815,0.454,30
9503,710237283,Existing Customer,50,F,2,Graduate,Married,Less than $40K,Blue,38,2,1,1,9546.0,960,8586.0,0.71,14211,111,0.657,0.101,50
9504,770766633,Existing Customer,28,F,1,Post-Graduate,Single,Less than $40K,Blue,14,2,3,3,3848.0,0,3848.0,0.841,14054,105,0.694,0.0,20
9505,823837158,Existing Customer,44,M,3,Graduate,Single,$40K - $60K,Blue,40,1,3,1,9199.0,1230,7969.0,0.591,15367,123,0.685,0.134,40
9506,712123008,Existing Customer,43,M,2,High School,Married,$60K - $80K,Blue,31,2,3,1,13381.0,1845,11536.0,0.883,14532,116,0.871,0.138,40
9507,711727083,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Blue,36,2,1,3,2833.0,1622,1211.0,0.951,14341,101,0.712,0.573,50
9508,720033033,Existing Customer,53,F,2,Post-Graduate,Single,Unknown,Blue,41,2,2,3,15101.0,1396,13705.0,0.692,13545,96,0.655,0.092,50
9509,787723758,Existing Customer,58,F,3,Unknown,Married,Less than $40K,Blue,48,2,1,2,3603.0,1465,2138.0,0.63,14235,101,0.656,0.407,50
9510,770926158,Existing Customer,51,F,0,Doctorate,Single,Less than $40K,Blue,38,2,2,2,4132.0,2517,1615.0,0.786,13820,129,0.697,0.609,50
9511,711360783,Existing Customer,39,F,0,College,Single,Less than $40K,Blue,36,1,2,2,4366.0,1870,2496.0,0.814,15451,127,0.764,0.428,30
9512,708285108,Existing Customer,42,M,4,Graduate,Single,$40K - $60K,Blue,36,1,1,2,6128.0,2239,3889.0,0.768,13505,116,0.681,0.365,40
9514,718096608,Existing Customer,44,F,4,High School,Single,Less than $40K,Blue,30,1,2,3,6882.0,1930,4952.0,0.915,13836,113,0.766,0.28,40
9515,719094333,Existing Customer,46,M,4,Uneducated,Married,$80K - $120K,Blue,33,1,2,1,13490.0,1567,11923.0,0.795,13159,105,0.75,0.116,40
9516,813764283,Existing Customer,39,M,3,High School,Married,$80K - $120K,Blue,34,2,1,2,17978.0,1820,16158.0,0.85,15657,114,0.81,0.101,30
9517,713398158,Existing Customer,45,M,3,Post-Graduate,Married,$40K - $60K,Blue,30,2,2,2,3821.0,1673,2148.0,0.869,15005,89,0.712,0.438,40
9518,711227883,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,21,2,3,3,3624.0,1641,1983.0,0.833,15824,121,0.779,0.453,40
9519,810040908,Existing Customer,42,F,3,High School,Single,Less than $40K,Blue,37,1,3,1,3787.0,824,2963.0,0.809,16220,120,0.69,0.218,40
9520,772640808,Existing Customer,38,F,1,College,Single,Less than $40K,Blue,28,2,2,2,4623.0,1366,3257.0,0.776,14730,118,0.735,0.295,30
9521,784907658,Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,30,2,1,2,4343.0,2220,2123.0,1.045,14463,119,0.776,0.511,30
9522,794692158,Existing Customer,43,F,3,High School,Unknown,$40K - $60K,Silver,25,1,2,1,17328.0,0,17328.0,0.82,15367,105,0.641,0.0,40
9523,718383183,Existing Customer,51,F,3,High School,Married,Less than $40K,Blue,39,2,1,1,3803.0,2437,1366.0,0.809,14397,117,0.746,0.641,50
9524,721156758,Existing Customer,52,M,3,Graduate,Married,$60K - $80K,Blue,44,1,2,1,23889.0,603,23286.0,0.792,13360,124,0.968,0.025,50
9525,811793433,Existing Customer,50,F,3,Graduate,Divorced,Unknown,Silver,45,2,1,2,34516.0,2381,32135.0,0.748,15071,103,0.717,0.069,50
9527,719420058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,26,1,2,1,11782.0,2177,9605.0,0.875,16605,110,0.692,0.185,40
9528,809459733,Existing Customer,43,F,4,Unknown,Single,Less than $40K,Blue,38,2,1,2,3220.0,0,3220.0,0.782,13339,90,0.698,0.0,40
9529,798783858,Existing Customer,48,F,3,Unknown,Unknown,$40K - $60K,Blue,42,2,1,1,9742.0,2517,7225.0,0.692,13082,92,0.804,0.258,40
9531,721294533,Existing Customer,48,M,4,Graduate,Married,$80K - $120K,Blue,34,1,1,1,34516.0,738,33778.0,0.719,15143,121,0.635,0.021,40
9532,718425333,Existing Customer,45,M,4,Graduate,Married,$80K - $120K,Blue,32,1,1,3,26819.0,1657,25162.0,0.816,14450,111,0.762,0.062,40
9534,714637908,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,2,2,1,7940.0,1669,6271.0,0.696,15445,118,0.934,0.21,40
9535,712341933,Existing Customer,39,M,1,Graduate,Single,$60K - $80K,Gold,36,1,3,2,34516.0,1662,32854.0,0.751,13578,105,0.615,0.048,30
9536,708332808,Existing Customer,47,M,2,Uneducated,Married,$40K - $60K,Blue,39,2,2,2,3471.0,0,3471.0,0.871,14381,115,0.742,0.0,40
9538,766649283,Existing Customer,49,F,3,Graduate,Divorced,Unknown,Blue,42,2,2,3,14072.0,1917,12155.0,0.653,13432,107,0.981,0.136,40
9539,817951083,Existing Customer,58,F,1,Unknown,Married,$40K - $60K,Silver,53,1,3,3,15928.0,1527,14401.0,0.838,14678,125,0.712,0.096,50
9541,713655108,Existing Customer,60,F,1,Graduate,Single,Less than $40K,Blue,45,2,3,1,9752.0,1423,8329.0,0.872,14220,108,0.964,0.146,60
9542,714560358,Existing Customer,53,M,1,Unknown,Single,$40K - $60K,Blue,45,1,2,1,3234.0,1514,1720.0,0.846,13803,100,0.695,0.468,50
9544,710603958,Existing Customer,49,M,2,Uneducated,Married,$80K - $120K,Blue,36,2,1,3,3090.0,0,3090.0,0.769,14198,101,0.804,0.0,40
9546,713810658,Existing Customer,44,M,3,Graduate,Married,$60K - $80K,Blue,36,1,2,3,3384.0,799,2585.0,0.737,13152,100,0.754,0.236,40
9547,721519908,Existing Customer,29,F,1,Uneducated,Single,Less than $40K,Blue,36,1,2,1,3640.0,1419,2221.0,0.749,13306,99,0.678,0.39,20
9548,712025958,Existing Customer,42,M,4,Uneducated,Married,$80K - $120K,Silver,35,1,2,3,34516.0,1420,33096.0,0.848,14672,110,0.803,0.041,40
9549,794740458,Existing Customer,45,F,3,Graduate,Married,Less than $40K,Silver,39,1,2,3,10186.0,1608,8578.0,0.712,14023,106,0.767,0.158,40
9550,709814883,Existing Customer,45,F,2,High School,Single,Less than $40K,Platinum,36,1,3,1,15987.0,2262,13725.0,0.714,15513,127,0.649,0.141,40
9553,710106933,Existing Customer,32,M,2,Uneducated,Single,$80K - $120K,Silver,20,2,3,3,34516.0,2136,32380.0,0.849,14667,119,0.75,0.062,30
9554,716655858,Existing Customer,38,M,2,High School,Single,$80K - $120K,Blue,31,1,3,2,34516.0,0,34516.0,0.768,14036,99,0.768,0.0,30
9555,778260108,Existing Customer,50,F,4,Unknown,Married,$40K - $60K,Blue,41,1,2,2,4268.0,1509,2759.0,0.562,14351,112,0.867,0.354,50
